Name,Nationality,Earnings,Year,Sport
Aaron Donald,USA,36,2021,Football
Aaron Donald,USA,41.4,2019,Football
Aaron Rodgers,USA,30.1,2020,Football
Aaron Rodgers,USA,89.3,2019,Football
Aaron Rodgers,USA,19.1,2015,Football
Aaron Rodgers,USA,22,2014,Football
Aaron Rodgers,USA,49,2013,Football
Adam Scott,USA,17.7,2014,Golf
Adam Wainwright,USA,19.8,2015,Baseball
Adrian Gonzalez,USA,21.7,2017,Baseball
Adrian Gonzalez,USA,21.4,2016,Baseball
Adrian Gonzalez,USA,21.5,2015,Baseball
Adrian Gonzalez,USA,21.5,2014,Baseball
Adrian Gonzalez,USA,21.2,2013,Baseball
Adrian Peterson,USA,21.5,2012,Football
AJ Burnett,USA,16.6,2013,Baseball
AJ Green,USA,33.3,2016,Football
Al Horford,Dominican Republic,24.4,2020,Basketball
Al Horford,Dominican Republic,32,2019,Basketball
Al Horford,Dominican Republic,29.8,2018,Basketball
Al Horford,Dominican Republic,28.1,2017,Basketball
Al Unser Jr,USA,4.8,1994,Racing
Alain Prost,France,16,1993,Racing
Alain Prost,France,11,1991,Racing
Alain Prost,France,9,1990,Racing
Albert Belle,USA,10.3,1998,Baseball
Albert Belle,USA,10.4,1997,Baseball
Albert Haynesworth,USA,27.3,2010,Football
Albert Pujols,USA,28,2019,Baseball
Albert Pujols,USA,30.3,2018,Baseball
Albert Pujols,USA,27.3,2017,Baseball
Albert Pujols,USA,26.3,2016,Baseball
Albert Pujols,USA,25.9,2015,Baseball
Albert Pujols,USA,20.3,2014,Baseball
Albert Pujols,USA,17.4,2012,Baseball
Alex Rodriguez,USA,21.1,2016,Baseball
Alex Rodriguez,USA,22.9,2014,Baseball
Alex Rodriguez,USA,30.3,2013,Baseball
Alex Rodriguez,USA,33,2012,Baseball
Alex Rodriguez,USA,35,2011,Baseball
Alex Rodriguez,USA,35.9,2010,Baseball
Alex Rodriguez,USA,34,2008,Baseball
Alex Rodriguez,USA,29.2,2007,Baseball
Alex Rodriguez,USA,29,2006,Baseball
Alex Rodriguez,USA,27.5,2005,Baseball
Alex Rodriguez,USA,26.2,2004,Baseball
Alex Rodriguez,USA,26,2003,Baseball
Alex Rodriguez,USA,25,2002,Baseball
Alex Smith,New Zealand,41.4,2018,Football
Alex Smith,New Zealand,19.6,2015,Football
Alexis Sanchez,Chile,25.6,2020,Soccer
Alexis Sanchez,Chile,30.8,2019,Soccer
Alfonso Soriano,Dominican Republic,18.1,2014,Baseball
